  9%|████████████▎                                                                                                                         | 923/10000 [04:50<47:40,  3.17it/s]
         19479475 function calls (18666602 primitive calls) in 294.205 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1218(_find_parent_path_names)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1228(_get_parent_path)
    25947    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
    24/22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1232(_recalculate)
    22/21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1245(__iter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__len__)
     5556    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
    11112    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1293(exec_module)
      369    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
     4823    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
    12652    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     3096    0.005    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
     3096    0.001    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
     4937    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      370    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
     2960    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1488(find_loader)
     2912    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
     4569    0.016    0.000    0.122    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     4492    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      370    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
      370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
      445    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      370    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
     6053    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_write_atomic)
     5552    0.009    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     2907    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:503(_calc_mode)
2778/2777    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:543(_find_module_shim)
     2776    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
     2776    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
