  9%|████████████▎                                                                                                                         | 923/10000 [04:50<47:40,  3.17it/s]
         19479475 function calls (18666602 primitive calls) in 294.205 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _type_utils.py:348(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _type_utils.py:376(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _type_utils.py:403(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _type_utils.py:66(JitScalarType)
        3    0.000    0.000    0.003    0.001 _typing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _typing.py:200(BaseBuffer)
        1    0.000    0.000    0.000    0.000 _typing.py:213(_DataPipeType)
        1    0.000    0.000    0.000    0.000 _typing.py:216(__init__)
        1    0.000    0.000    0.000    0.000 _typing.py:220(ReadBuffer)
        1    0.000    0.000    0.000    0.000 _typing.py:226(WriteBuffer)
        1    0.000    0.000    0.000    0.000 _typing.py:23(GenericMeta)
        1    0.000    0.000    0.000    0.000 _typing.py:236(ReadPickleBuffer)
        1    0.000    0.000    0.000    0.000 _typing.py:241(WriteExcelBuffer)
        1    0.000    0.000    0.000    0.000 _typing.py:246(ReadCsvBuffer)
        1    0.000    0.000    0.000    0.000 _typing.py:249(_DataPipeMeta)
       42    0.000    0.000    0.001    0.000 _typing.py:260(__new__)
        1    0.000    0.000    0.000    0.000 _typing.py:27(Integer)
       42    0.000    0.000    0.000    0.000 _typing.py:278(__init__)
        1    0.000    0.000    0.000    0.000 _typing.py:31(Boolean)
        1    0.000    0.000    0.000    0.000 _typing.py:342(_IterDataPipeMeta)
       35    0.000    0.000    0.001    0.000 _typing.py:349(__new__)
        1    0.000    0.000    0.000    0.000 _typing.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _typing.py:7(RingElement)
        1    0.000    0.000    0.000    0.000 _typing_utils.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _tzpath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tzpath.py:170(InvalidTZPathWarning)
        1    0.000    0.000    0.000    0.000 _tzpath.py:31(_parse_python_tzpath)
        1    0.000    0.000    0.003    0.003 _tzpath.py:5(reset_tzpath)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:29(<dictcomp>)
       12    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:359(_unspecified)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:366(errstate)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:425(__init__)
        6    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__enter__)
        6    0.000    0.000    0.000    0.000 _ufunc_config.py:434(__exit__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:440(_setdef)
        1    0.000    0.000    0.000    0.000 _ufuncs.py:249(<listcomp>)
       47    0.000    0.000    0.000    0.000 _ufuncs.py:289(deco_unary_ufunc)
        1    0.000    0.000    0.001    0.001 _ufuncs.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _ufuncs.py:30(<listcomp>)
       38    0.000    0.000    0.000    0.000 _ufuncs.py:67(deco_binary_ufunc)
        1    0.000    0.000    0.000    0.000 _unary_ufuncs_impl.py:3(<module>)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:24(AxisError)
        1    0.000    0.000    0.000    0.000 _util.py:28(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 _util.py:3(<module>)
        3    0.000    0.000    0.000    0.000 _util.py:32(register_writer)
        3    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:100(BasicEvaluation)
        5    0.000    0.000    0.001    0.000 _utils.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:33(EventMetrics)
        1    0.000    0.000    0.000    0.000 _utils.py:47(Interval)
        1    0.000    0.000    0.000    0.000 _utils.py:54(EventKey)
        1    0.000    0.000    0.000    0.000 _utils.py:667(KeyErrorMessage)
        1    0.000    0.000    0.000    0.000 _utils.py:674(ExceptionWrapper)
        1    0.000    0.000    0.000    0.000 _utils.py:840(_ClassPropertyDescriptor)
       58    0.000    0.000    0.000    0.000 _utils.py:841(__init__)
       58    0.000    0.000    0.000    0.000 _utils.py:850(classproperty)
    20306    0.008    0.000    0.015    0.000 _utils.py:856(is_compiling)
       10    0.000    0.000    0.000    0.000 _utils.py:905(_dummy_type)
       20    0.000    0.000    0.000    0.000 _utils.py:906(get_err_fn)
        1    0.000    0.000    0.000    0.000 _utils.py:921(_LazySeedTracker)
        3    0.000    0.000    0.000    0.000 _utils.py:926(__init__)
        1    0.000    0.000    0.000    0.000 _utils.py:949(CallbackRegistry)
       58    0.000    0.000    0.000    0.000 _utils_internal.py:126(log_torchscript_usage)
        1    0.000    0.000    0.001    0.001 _utils_internal.py:2(<module>)
        2    0.000    0.000    0.000    0.000 _utils_internal.py:42(get_file_path)
        1    0.000    0.000    0.000    0.000 _utils_internal.py:56(prepare_multiprocessing_environment)
        1    0.000    0.000    0.000    0.000 _utils_internal.py:78(compile_time_strobelight_meta)
        1    0.000    0.000    0.000    0.000 _utils_internal.py:79(compile_time_strobelight_meta_inner)
        2    0.000    0.000    0.000    0.000 _validators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        2    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        1    0.000    0.000    0.000    0.000 _version.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:4(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _version_control_details.py:15(VersionControlDetails)
        1    0.000    0.000    0.000    0.000 _version_control_details.py:4(<module>)
     3100    0.001    0.000    0.001    0.000 _virtualenv.py:54(find_spec)
        1    0.000    0.000    0.000    0.000 _vmap_internals.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _wandb_bootstrap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _wandb_bootstrap.py:10(<setcomp>)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:107(remove)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:59(__iter__)
       56    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
        1    0.000    0.000    0.000    0.000 _web_request.py:15(WebRequest)
        1    0.000    0.000    0.000    0.000 _web_request.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _web_response.py:15(WebResponse)
        1    0.000    0.000    0.000    0.000 _web_response.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _weights_only_unpickler.py:171(Unpickler)
        1    0.000    0.000    0.000    0.000 _weights_only_unpickler.py:25(<module>)
        1    0.000    0.000    0.000    0.000 _wsgi_common.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _wsgi_common.py:36(<genexpr>)
        1    0.000    0.000    0.000    0.000 _wsgi_common.py:54(RequestExtractor)
        1    0.000    0.000    0.000    0.000 _xlrd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _xlrd.py:19(XlrdReader)
        1    0.000    0.000    0.000    0.000 _xlsxwriter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _xlsxwriter.py:175(XlsxWriter)
        1    0.000    0.000    0.000    0.000 _xlsxwriter.py:19(_XlsxStyler)
      425    0.000    0.000    0.007    0.000 abc.py:105(__new__)
       38    0.000    0.000    0.000    0.000 abc.py:110(register)
     3004    0.001    0.000    0.004    0.000 abc.py:117(__instancecheck__)
112086/111640    0.010    0.000    0.026    0.000 abc.py:121(__subclasscheck__)
      443    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        4    0.000    0.000    0.006    0.001 abstract.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abstract.py:136(AbstractRunner)
        1    0.000    0.000    0.000    0.000 abstract.py:21(AbstractBuilder)
        1    0.000    0.000    0.000    0.000 abstract.py:42(Status)
        1    0.000    0.000    0.000    0.000 abstract.py:6(AbstractEnvironment)
        1    0.000    0.000    0.000    0.000 abstract.py:63(AbstractRun)
        1    0.000    0.000    0.000    0.000 abstract.py:7(AbstractRegistry)
        1    0.000    0.000    0.000    0.000 abstract_impl.py:11(AbstractImplHolder)
        1    0.000    0.000    0.000    0.000 abstract_impl.py:118(AbstractImplCtx)
      113    0.000    0.000    0.000    0.000 abstract_impl.py:14(__init__)
      113    0.000    0.000    0.009    0.000 abstract_impl.py:19(register)
        1    0.000    0.000    0.000    0.000 abstract_impl.py:2(<module>)
      113    0.000    0.000    0.000    0.000 abstract_impl.py:74(construct_meta_kernel)
        3    0.000    0.000    0.005    0.002 accessor.py:1(<module>)
       34    0.000    0.000    0.000    0.000 accessor.py:110(_create_delegator_method)
       52    0.000    0.000    0.000    0.000 accessor.py:118(_forbid_nonstring_types)
       11    0.000    0.000    0.000    0.000 accessor.py:136(delegate_names)
        9    0.000    0.000    0.000    0.000 accessor.py:137(_map_and_wrap)
       92    0.000    0.000    0.000    0.000 accessor.py:141(<lambda>)
        1    0.000    0.000    0.001    0.001 accessor.py:147(StringMethods)
       11    0.000    0.000    0.000    0.000 accessor.py:176(add_delegate_accessors)
        1    0.000    0.000    0.000    0.000 accessor.py:19(DirNamesMixin)
        1    0.000    0.000    0.000    0.000 accessor.py:196(CachedAccessor)
        8    0.000    0.000    0.000    0.000 accessor.py:216(__init__)
        2    0.000    0.000    0.000    0.000 accessor.py:220(__get__)
        1    0.000    0.000    0.000    0.000 accessor.py:226(SparseFrameAccessor)
        1    0.000    0.000    0.000    0.000 accessor.py:26(BaseAccessor)
        1    0.000    0.000    0.000    0.000 accessor.py:37(SparseAccessor)
        1    0.000    0.000    0.000    0.000 accessor.py:49(PandasDelegate)
       11    0.000    0.000    0.000    0.000 accessor.py:63(_add_delegate_accessors)
       52    0.000    0.000    0.000    0.000 accessor.py:68(forbid_nonstring_types)
       81    0.000    0.000    0.000    0.000 accessor.py:94(_create_delegator_property)
        1    0.000    0.000    0.000    0.000 accessors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 accessors.py:147(ArrowTemporalProperties)
       47    0.000    0.000    0.000    0.000 accessors.py:151(<lambda>)
       16    0.000    0.000    0.000    0.000 accessors.py:158(<lambda>)
        1    0.000    0.000    0.000    0.000 accessors.py:232(DatetimeProperties)
        1    0.000    0.000    0.000    0.000 accessors.py:371(TimedeltaProperties)
        1    0.000    0.000    0.000    0.000 accessors.py:478(PeriodProperties)
        1    0.000    0.000    0.000    0.000 accessors.py:49(Properties)
        1    0.000    0.000    0.000    0.000 accessors.py:545(CombinedDatetimelikeProperties)
        1    0.000    0.000    0.001    0.001 accumulationbounds.py:1(<module>)
        1    0.000    0.000    0.000    0.000 accumulationbounds.py:14(AccumulationBounds)
        1    0.000    0.000    0.000    0.000 activation.py:110(LeakyReLU)
        1    0.000    0.000    0.000    0.000 activation.py:111(RReLU)
        1    0.000    0.000    0.000    0.000 activation.py:1334(PReLU)
        1    0.000    0.000    0.000    0.000 activation.py:1406(Softsign)
        1    0.000    0.000    0.000    0.000 activation.py:141(Sigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:1429(Tanhshrink)
        1    0.000    0.000    0.000    0.000 activation.py:1452(Softmin)
        1    0.000    0.000    0.000    0.000 activation.py:15(ReLU6)
        1    0.000    0.000    0.000    0.000 activation.py:1501(Softmax)
        1    0.000    0.000    0.000    0.000 activation.py:1560(Softmax2d)
        1    0.000    0.000    0.000    0.000 activation.py:1590(LogSoftmax)
        1    0.000    0.000    0.000    0.000 activation.py:16(MultiheadAttention)
        1    0.000    0.000    0.000    0.000 activation.py:162(Softmax)
        1    0.000    0.000    0.000    0.000 activation.py:174(Hardtanh)
        1    0.000    0.000    0.000    0.000 activation.py:19(Threshold)
        3    0.000    0.000    0.000    0.000 activation.py:2(<module>)
        1    0.000    0.000    0.000    0.000 activation.py:200(MultiheadAttention)
        1    0.000    0.000    0.000    0.000 activation.py:245(PReLU)
        1    0.000    0.000    0.000    0.000 activation.py:250(ReLU6)
        1    0.000    0.000    0.000    0.000 activation.py:280(Sigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:304(Hardsigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:344(Tanh)
        1    0.000    0.000    0.000    0.000 activation.py:368(SiLU)
        1    0.000    0.000    0.000    0.000 activation.py:411(Mish)
        1    0.000    0.000    0.000    0.000 activation.py:449(Hardswish)
        1    0.000    0.000    0.000    0.000 activation.py:491(ELU)
        1    0.000    0.000    0.000    0.000 activation.py:53(Hardswish)
        1    0.000    0.000    0.000    0.000 activation.py:539(CELU)
        1    0.000    0.000    0.000    0.000 activation.py:584(SELU)
        1    0.000    0.000    0.000    0.000 activation.py:634(GLU)
        1    0.000    0.000    0.000    0.000 activation.py:669(GELU)
        1    0.000    0.000    0.000    0.000 activation.py:68(ReLU)
        1    0.000    0.000    0.000    0.000 activation.py:711(Hardshrink)
        1    0.000    0.000    0.000    0.000 activation.py:754(LeakyReLU)
        1    0.000    0.000    0.000    0.000 activation.py:806(LogSigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:81(ELU)
        1    0.000    0.000    0.000    0.000 activation.py:829(Softplus)
        1    0.000    0.000    0.000    0.000 activation.py:874(Softshrink)
        1    0.000    0.000    0.000    0.000 activation.py:935(MultiheadAttention)
        1    0.000    0.000    0.000    0.000 adadelta.py:2(<module>)
        1    0.000    0.000    0.000    0.000 adadelta.py:25(Adadelta)
        1    0.000    0.000    0.000    0.000 adagrad.py:2(<module>)
        1    0.000    0.000    0.000    0.000 adagrad.py:23(Adagrad)
     1846    0.014    0.000    0.019    0.000 adam.py:119(_init_group)
     1846    0.008    0.000    2.079    0.001 adam.py:192(step)
        1    0.000    0.000    0.000    0.000 adam.py:2(<module>)
        1    0.000    0.000    0.000    0.000 adam.py:30(Adam)
        2    0.000    0.000    0.000    0.000 adam.py:31(__init__)
      923    0.347    0.000    2.015    0.002 adam.py:321(_single_tensor_adam)
      923    0.000    0.000    0.000    0.000 adam.py:440(_multi_tensor_adam)
     1846    0.006    0.000    2.035    0.001 adam.py:699(adam)
     9230    0.001    0.000    0.002    0.000 adam.py:747(<genexpr>)
        1    0.000    0.000    0.000    0.000 adamax.py:2(<module>)
        1    0.000    0.000    0.000    0.000 adamax.py:26(Adamax)
        1    0.000    0.000    0.000    0.000 adamw.py:2(<module>)
        1    0.000    0.000    0.000    0.000 adamw.py:30(AdamW)
        1    0.000    0.000    0.006    0.006 adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adapters.py:137(BaseAdapter)
       36    0.000    0.000    0.000    0.000 adapters.py:140(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:167(HTTPAdapter)
       36    0.000    0.000    0.001    0.000 adapters.py:202(__init__)
       36    0.000    0.000    0.000    0.000 adapters.py:240(init_poolmanager)
        1    0.000    0.000    0.000    0.000 adaptive.py:19(AdaptiveLogSoftmaxWithLoss)
        1    0.000    0.000    0.000    0.000 adaptive.py:3(<module>)
        1    0.000    0.000    0.000    0.000 add.py:1(<module>)
        1    0.000    0.000    0.000    0.000 add.py:89(Add)
        1    0.000    0.000    0.000    0.000 adjoint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adjoint.py:7(Adjoint)
        1    0.000    0.000    0.005    0.005 agent.py:1(<module>)
        1    0.000    0.000    0.000    0.000 agent.py:114(InternalAgentLogger)
        1    0.000    0.000    0.000    0.000 agent.py:164(LaunchAgent)
        1    0.000    0.000    0.000    0.000 agent.py:70(JobSpecAndQueue)
        1    0.000    0.000    0.000    0.000 agent_selector.py:1(<module>)
        1    0.000    0.000    0.000    0.000 agent_selector.py:27(__init__)
      926    0.001    0.000    0.001    0.000 agent_selector.py:30(reinit)
      925    0.001    0.000    0.003    0.000 agent_selector.py:36(reset)
    28628    0.024    0.000    0.026    0.000 agent_selector.py:41(next)
        1    0.000    0.000    0.000    0.000 agent_selector.py:6(agent_selector)
        1    0.000    0.000    0.000    0.000 aggregators.py:1(<module>)
        1    0.000    0.000    1.476    1.476 alg.py:1(<module>)
      923    0.007    0.000    0.103    0.000 alg.py:105(collate_episodes)
      923   23.482    0.025   25.060    0.027 alg.py:117(target_lambda_return)
      923    0.001    0.000    0.001    0.000 alg.py:129(<listcomp>)
      923    0.001    0.000    0.001    0.000 alg.py:139(<listcomp>)
        1    0.000    0.000    0.000    0.000 alg.py:17(COMA)
        1    0.000    0.000    0.051    0.051 alg.py:18(__init__)
      924    0.024    0.000    0.594    0.001 alg.py:62(memory_reset)
      923    0.009    0.000   34.318    0.037 alg.py:78(optimize_actors)
      923    0.008    0.000    4.735    0.005 alg.py:85(optimize_critic)
      923    0.577    0.001    0.613    0.001 alg.py:92(critic_target_soft_update)
        1    0.000    0.000    0.004    0.004 algebraicfield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 algebraicfield.py:14(AlgebraicField)
        1    0.000    0.000    0.005    0.005 algorithms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 align.py:1(<module>)
        1    0.000    0.000    0.000    0.000 align.py:67(_filter_special_cases)
        1    0.000    0.000    0.000    0.000 alphabets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 annotations.py:2(<module>)
       76    0.000    0.000    0.001    0.000 annotations.py:243(get_type_line)
     1065    0.000    0.000    0.000    0.000 annotations.py:249(<lambda>)
     1065    0.000    0.000    0.000    0.000 annotations.py:267(<lambda>)
      328    0.000    0.000    0.000    0.000 annotations.py:371(is_tensor)
  711/418    0.002    0.000    0.006    0.000 annotations.py:403(try_ann_to_type)
        5    0.000    0.000    0.000    0.000 annotations.py:416(<listcomp>)
        1    0.000    0.000    0.000    0.000 annotations.py:71(Module)
        2    0.000    0.000    0.000    0.000 annotations.py:72(__init__)
        1    0.000    0.000    0.000    0.000 annotations.py:85(EvalEnv)
        1    0.000    0.000    0.000    0.000 anomaly_mode.py:2(<module>)
        1    0.000    0.000    0.000    0.000 anomaly_mode.py:9(detect_anomaly)
        1    0.000    0.000    0.000    0.000 anomaly_mode.py:94(set_detect_anomaly)
        1    0.000    0.000    0.000    0.000 anon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anon.py:9(AnonynmousRegistry)
       14    0.000    0.000    0.181    0.013 api.py:1(<module>)
        3    0.000    0.000    0.000    0.000 api.py:105(get_client)
        2    0.000    0.000    0.000    0.000 api.py:125(get_global_scope)
        6    0.000    0.000    0.000    0.000 api.py:131(get_isolation_scope)
        2    0.000    0.000    0.000    0.000 api.py:137(get_current_scope)
        1    0.000    0.000    0.000    0.000 api.py:151(EventDispatcher)
        1    0.000    0.000    0.000    0.000 api.py:18(PlatformDirsABC)
        1    0.000    0.000    0.000    0.000 api.py:19(<module>)
        1    0.000    0.000    0.001    0.001 api.py:2(<module>)
        1    0.000    0.000    0.000    0.000 api.py:204(BaseObserver)
        1    0.000    0.000    0.000    0.000 api.py:30(EventQueue)
        1    0.000    0.000    0.000    0.000 api.py:39(ObservedWatch)
        1    0.000    0.000    0.000    0.000 api.py:39(RetryingClient)
        4    0.000    0.000    0.000    0.000 api.py:46(overload)
        1    0.000    0.000    0.000    0.000 api.py:471(RRef)
       11    0.000    0.000    0.000    0.000 api.py:493(method_factory)
        9    0.000    0.000    0.000    0.000 api.py:75(_require_initialized)
        1    0.000    0.000    0.000    0.000 api.py:81(EventEmitter)
       17    0.000    0.000    0.000    0.000 api.py:87(scopemethod)
        1    0.000    0.000    0.000    0.000 api.py:88(AllGatherStates)
        1    0.000    0.000    0.002    0.002 api.py:95(Api)
        1    0.000    0.000    0.000    0.000 api.py:96(clientmethod)
      204    0.000    0.000    0.000    0.000 api_implementation.py:130(Type)
        1    0.000    0.000    0.002    0.002 api_implementation.py:41(_CanImport)
        1    0.000    0.000    0.002    0.002 api_implementation.py:8(<module>)
        1    0.000    0.000    0.000    0.000 apikey.py:1(<module>)
        1    0.000    0.000    0.001    0.001 apikey.py:264(api_key)
        1    0.000    0.000    0.001    0.001 apis.py:7(<module>)
        1    0.000    0.000    0.000    0.000 appdirs.py:407(AppDirs)
        1    0.000    0.000    0.000    0.000 appdirs.py:6(<module>)
        1    0.000    0.000    0.000    0.000 appellseqs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 apply.py:1(<module>)
        1    0.000    0.000    0.000    0.000 apply.py:100(Apply)
        1    0.000    0.000    0.000    0.000 apply.py:1092(GroupByApply)
        1    0.000    0.000    0.000    0.000 apply.py:1118(ResamplerWindowApply)
        1    0.000    0.000    0.000    0.000 apply.py:583(NDFrameApply)
        1    0.000    0.000    0.000    0.000 apply.py:600(FrameApply)
        1    0.000    0.000    0.000    0.000 apply.py:854(FrameRowApply)
        1    0.000    0.000    0.000    0.000 apply.py:911(FrameColumnApply)
        1    0.000    0.000    0.000    0.000 apply.py:987(SeriesApply)
        1    0.000    0.000    0.000    0.000 approximants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 approximation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1027(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1054(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:107(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1077(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1096(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1122(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1124(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1215(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1226(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1281(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1301(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:154(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1611(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1645(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1665(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:201(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:662(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:673(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:684(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:701(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:734(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:754(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:763(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:856(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 argparse.py:897(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:932(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:955(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:972(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:989(_AppendAction)
        1    0.000    0.000    0.000    0.000 arguments_of_correct_type.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arguments_of_correct_type.py:7(ArgumentsOfCorrectType)
        2    0.000    0.000    0.014    0.007 array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array.py:184(ArrowExtensionArray)
        1    0.000    0.000    0.000    0.000 array.py:292(SparseArray)
        1    0.000    0.000    0.000    0.000 array_comprehension.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array_comprehension.py:10(ArrayComprehension)
        1    0.000    0.000    0.000    0.000 array_comprehension.py:344(ArrayComprehensionMap)
        1    0.000    0.000    0.000    0.000 array_manager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array_manager.py:1147(SingleArrayManager)
        1    0.000    0.000    0.000    0.000 array_manager.py:1317(NullArrayProxy)
        1    0.000    0.000    0.000    0.000 array_manager.py:695(ArrayManager)
        1    0.000    0.000    0.000    0.000 array_manager.py:99(BaseArrayManager)
        1    0.000    0.000    0.004    0.004 array_ops.py:1(<module>)
       14    0.000    0.000    0.000    0.000 array_ops.py:408(get_array_op)
        1    0.000    0.000    0.006    0.006 arraylike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
        1    0.000    0.000    0.000    0.000 arrayop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayop.py:458(Flatten)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1222(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1235(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1245(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1278(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1304(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1336(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1341(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1351(StructuredVoidFormat)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1568(_guarded_repr_or_str)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1575(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:493(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:905(FloatingFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.001    0.001 arrow_parser_wrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrow_parser_wrapper.py:15(ArrowParserWrapper)
        1    0.000    0.000    0.230    0.230 artifact.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artifact.py:2410(_ArtifactVersionType)
        1    0.000    0.000    0.001    0.001 artifact.py:95(Artifact)
        1    0.000    0.000    0.000    0.000 artifact_download_logger.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artifact_download_logger.py:10(ArtifactDownloadLogger)
        1    0.000    0.000    0.001    0.001 artifact_file_cache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artifact_file_cache.py:41(ArtifactFileCache)
        1    0.000    0.000    0.000    0.000 artifact_instance_cache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artifact_manifest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artifact_manifest.py:13(ArtifactManifest)
        1    0.000    0.000    0.000    0.000 artifact_manifest_entry.py:1(<module>)
